Chapter,Page,,
9.2 Low-Pressure Primary Open-Angle Glaucoma (Normal Pressure Glaucoma),211,,
9.3 Ocular Hypertension,212,,
9.4 Acute Angle-Closure Glaucoma,213,,
9.5 Chronic Angle-Closure Glaucoma,216,,
9.6 Angle-Recession Glaucoma,217,,
9.7 Inflammatory Open-Angle Glaucoma,218,,
9.8 Glaucomatocyclitic Crisis/Posner–Schlossman Syndrome,220,,
9.9 Steroid-Response Glaucoma,221,,
9.10 Pigment Dispersion Syndrome/Pigmentary Glaucoma,222,,
9.11 Pseudoexfoliation Syndrome/Exfoliative Glaucoma,224,,
9.12 Lens-Induced (Phacogenic) Glaucoma,226,,
9.13 Plateau Iris,229,,
9.14 Neovascular Glaucoma,230,,
9.15 Iridocorneal Endothelial Syndrome,233,,
9.16 Postoperative Glaucoma,234,,
9.17 Aqueous Misdirection Syndrome/Malignant Glaucoma,236,,
9.18 Postoperative Complications of Glaucoma Surgery,237,,
9.19 Blebitis,240,,
CHAPTER 10 Neuro-Ophthalmology,242,,
10.1 Anisocoria,242,,
10.2 Horner Syndrome,244,,
10.3 Argyll Robertson Pupils,246,,
10.4 Adie (Tonic) Pupil,247,,
10.5 Isolated Third Nerve Palsy,248,,
10.6 Aberrant Regeneration of the Third Nerve,251,,
10.7 Isolated Fourth Nerve Palsy,252,,
10.8 Isolated Sixth Nerve Palsy,254,,
10.9 Isolated Seventh Nerve Palsy,256,,
10.10 Cavernous Sinus And Associated Syndromes (Multiple Ocular Motor Nerve Palsies),259,,
10.11 Myasthenia Gravis,263,,
10.12 Chronic Progressive External Ophthalmoplegia,266,,
10.13 Internuclear Ophthalmoplegia,267,,
10.14 Optic Neuritis,268,,
10.15 Papilledema,271,,
10.16 Idiopathic Intracranial Hypertension/Pseudotumor Cerebri,273,,
10.17 Arteritic Ischemic Optic Neuropathy (Giant Cell Arteritis),274,,
10.18 Nonarteritic Ischemic Optic Neuropathy,276,,
10.19 Posterior Ischemic Optic Neuropathy,277,,
10.20 Miscellaneous Optic Neuropathies,278,,
10.21 Nystagmus,280,,
10.22 Transient Visual Loss/Amaurosis Fugax,283,,
10.23 Vertebrobasilar Artery Insufficiency,284,,
10.24 Cortical Blindness,285,,
10.25 Nonphysiologic Visual Loss,286,,
10.26 Headache,287,,
10.27 Migraine,289,,
10.28 Cluster Headache,291,,
CHAPTER 11 Retina,293,,
11.1 Posterior Vitreous Detachment,293,,
11.2 Retinal Break,294,,
11.3 Retinal Detachment,295,,
11.4 Retinoschisis,298,,
11.5 Cotton –Wool Spot,300,,
11.6 Central Retinal Artery Occlusion,302,,
11.7 Branch Retinal Artery Occlusion,303,,
11.8 Central Retinal Vein Occlusion,304,,
11.9 Branch Retinal Vein Occlusion,307,,
11.10 Hypertensive Retinopathy,308,,
11.11 Ocular Ischemic Syndrome/Carotid Occlusive Disease,309,,
11.12 Diabetic Retinopathy,310,,
11.13 Vitreous Hemorrhage,316,,
11.14 Cystoid Macular Edema,318,,
11.15 Central Serous Chorioretinopathy,320,,
11.16 Nonexudative (Dry) Age-Related Macular Degeneration,322,,
11.17 Neovascular or Exudative (Wet) Age-Related Macular Degeneration,324,,
11.18 Idiopathic Polypoidal Choroidal Vasculopathy (Posterior Uveal Bleeding Syndrome),326,,
11.19 Retinal Arterial Macroaneurysm,327,,
11.20 Sickle Cell Disease (Including Sickle Cell Anemia, Sickle Trait),328,
11.21 Valsalva Retinopathy,330,,
11.22 High Myopia,331,,
11.23 Angioid Streaks,332,,
11.24 Ocular Histoplasmosis,334,,
11.25 Macular Hole,336,,
11.26 Epiretinal Membrane (Macular Pucker, Surface-Wrinkling Retinopathy, Cellophane Maculopathy),338
11.27 Choroidal Effusion/Detachment,339,,
11.28 Retinitis Pigmentosa and Inherited Chorioretinal Dystrophies,341,,
11.29 Cone Dystrophies,345,,
11.30 Stargardt Disease (Fundus Flavimaculatus),346,,
11.31 Best Disease (Vitelliform Macular Dystrophy),348,,
11.32 Chloroquine/Hydroxychloroquine Toxicity,349,,
11.33 Crystalline Retinopathy,350,,
11.34 Optic Pit,352,,
11.35 Solar Retinopathy,353,,
11.36 Choroidal Nevus and Malignant Melanoma of the Choroid,354,,
CHAPTER 12 Uveitis,358,,
12.1 Anterior Uveitis (Iritis/Iridocyclitis),358,,
12.2 Intermediate Uveitis,364,,
12.3 Posterior Uveitis,365,,
12.4 Human Leukocyte Antigen (HLA)–B27–Associated Uveitis,369,,
12.5 Toxoplasmosis,369,,
12.6 Sarcoidosis,372,,
12.7 Behçet Disease,374,,
12.8 Acute Retinal Necrosis (ARN),375,,
12.9 Cytomegalovirus Retinitis,377,,
12.10 Noninfectious Retinal Microvasculopathy/HIV Retinopathy,380,,
12.11 Vogt–Koyanagi–Harada Syndrome,380,,
12.12 Syphilis,382,,
12.13 Postoperative Endophthalmitis,384,,
12.14 Chronic Postoperative Uveitis,387,,
12.15 Traumatic Endophthalmitis,388,,
12.16 Endogenous Bacterial Endophthalmitis,389,,
12.17 Candida Retinitis/Uveitis/Endophthalmitis,391,,
12.18 Sympathetic Ophthalmia,392,,
CHAPTER 13 General Ophthalmic Problems,394,,
13.1 Acquired Cataract,394,,
13.2 Pregnancy,396,,
13.3 Lyme Disease,397,,
13.4 Convergence Insufficiency,398,,
13.5 Accommodative Spasm,399,,
13.6 Stevens–Johnson Syndrome (Erythema Multiforme Major),400,,
13.7 Vitamin A Deficiency,402,,
13.8 Albinism,403,,
13.9 Wilson Disease,404,,
13.10 Subluxed or Dislocated Crystalline Lens,405,,
13.11 Hypotony Syndrome,407,,
13.12 Blind, Painful Eye,409,
13.13 Phakomatoses,410,,
CHAPTER 14 Imaging Modalities in Ophthalmology,416,,
14.1 Plain Films,416,,
14.2 Computed Tomography,416,,
14.3 Magnetic Resonance Imaging,418,,
14.4 Magnetic Resonance Angiography,420,,
14.5 Magnetic Resonance Venography,421,,
14.6 Cerebral Arteriography,421,,
14.7 Nuclear Medicine,422,,
14.8 Ophthalmic Ultrasonography,422,,
14.9 Photographic Studies,424,,
14.10 Intravenous Fluorescein Angiography,425,,
14.11 Indocyanine Green Angiography,426,,
14.12 Optical Coherence Tomography,427,,
14.13 Confocal Scanning Laser Ophthalmoscopy,428,,
14.14 Confocal Biomicroscopy,428,,
14.15 Corneal Topography & Tomography Description,428,,
14.16 Dacryocystography,429,,
Appendices,430,,
Appendix 1 Dilating Drops,430,,
Appendix 2 Tetanus Prophylaxis,431,,
Appendix 3 Cover/Uncover and Alternate Cover Tests,431,,
Appendix 4 Amsler Grid,432,,
Appendix 5 Seidel Test to Detect a Wound Leak,433,,
Appendix 6 Forced-Duction Test and Active Force Generation Test,433,,
Appendix 7 Technique for Diagnostic Probing and Irrigation of The Lacrimal System,435,,
Appendix 8 Corneal Culture Procedure,435,,
Appendix 9 Fortified Topical Antibiotics/Antifungals,437,,
Appendix 10 Technique for Retrobulbar/Subtenon/Subconjunctival Injections,438,,
Appendix 11 Intravitreal Tap and Inject,439,,
Appendix 12 Intravitreal Antibiotics,440,,
Appendix 13 Anterior Chamber Paracentesis,440,,
Appendix 14 Angle Classification,441,,
Appendix 15 Yag Laser Peripheral Iridotomy,444,,
Appendix 16 YAG Capsulotomy,445,,
Ophthalmic Acronyms and Abbreviations,446,,
